method,combo,n_tasks,target,best_coef,best_acc,nai
lora,qnli+sst2,2,boolq,0.30000000000000004,0.4559633027522936,0.1648270787343635
lora,qnli+sst2,2,rte,0.65,0.6498194945848376,0.7898550724637683
lora,qnli+sst2,2,cola,0.5,0.6912751677852349,0.19310344827586182
lora,qnli+sst2+record,3,mrpc,0.6000000000000001,0.678921568627451,0.8308157099697886
lora,qnli+sst2+record,3,boolq,0.25,0.5131498470948013,0.3024282560706403
lora,qnli+sst2+record,3,rte,0.45,0.6498194945848376,0.7898550724637683
lora,qnli+sst2+record,3,cola,0.65,0.6893576222435283,0.17931034482758573
lora,qqp+record,2,mrpc,0.75,0.3602941176470588,0.4380664652567976
lora,qqp+record,2,boolq,0.05,0.37767584097859325,-0.023546725533480594
lora,qqp+record,2,rte,0.8,0.48375451263537905,0.4565217391304348
lora,qqp+record,2,cola,0.75,0.6883988494726749,0.1724137931034477
lora,qqp+sst2,2,mrpc,0.75,0.6078431372549019,0.7432024169184289
lora,qqp+sst2,2,boolq,0.05,0.3785932721712538,-0.02133922001471673
lora,qqp+sst2,2,rte,0.65,0.47653429602888087,0.44202898550724645
lora,qqp+sst2,2,cola,0.35000000000000003,0.6912751677852349,0.19310344827586182
lora,qqp+sst2+record,3,mrpc,0.5,0.6274509803921569,0.7673716012084593
lora,qqp+sst2+record,3,boolq,0.30000000000000004,0.37003058103975534,-0.04194260485651222
lora,qqp+sst2+record,3,rte,0.7000000000000001,0.48736462093862815,0.46376811594202905
lora,qqp+sst2+record,3,cola,0.5,0.6893576222435283,0.17931034482758573
lora,sst2+record,2,mrpc,0.8500000000000001,0.678921568627451,0.8308157099697886
lora,sst2+record,2,boolq,0.4,0.5559633027522936,0.40544518027961735
lora,sst2+record,2,rte,0.6000000000000001,0.6353790613718412,0.7608695652173915
lora,sst2+record,2,cola,0.5,0.6836049856184084,0.1379310344827583
