combo,mrpc,boolq,rte,cola,cb,scitail,stsb,cr,rotten_tomatoes,multirc,copa,piqa
mnli+anli_r1+hellaswag,0.44607843137254904,0.5275229357798165,0.5270758122743683,0.6471716203259827,0.8214285714285714,0.8254938852304797,0.34581810805304386,0.8058510638297872,0.7917448405253283,0.6146864686468647,0.6,0.6169749727965179
mnli+anli_r1+imdb,0.47058823529411764,0.5076452599388379,0.5270758122743683,0.6538830297219559,0.7678571428571429,0.8179680150517403,0.4065587857825705,0.8643617021276596,0.8621013133208255,0.5462046204620462,0.45,0.4733405875952122
mnli+anli_r1+paws,0.39705882352941174,0.5957186544342508,0.5270758122743683,0.5915627996164909,0.8214285714285714,0.823612417685795,0.3442209005605925,0.848404255319149,0.7345215759849906,0.7365924092409241,0.07,0.05005440696409141
mnli+anli_r1+squad_v2,0.47058823529411764,0.5782874617737003,0.5667870036101083,0.5474592521572388,0.8035714285714286,0.8231420507996237,0.33171589363428855,0.800531914893617,0.775797373358349,0.6505775577557755,0.17,0.03427638737758433
mnli+anli_r1+winogrande,0.4730392156862745,0.5137614678899083,0.5379061371841155,0.5838926174496645,0.8392857142857143,0.8283160865475071,0.38793992490608065,0.8164893617021277,0.7823639774859287,0.6268564356435643,0.5,0.4401523394994559
mnli+hellaswag+winogrande,0.5196078431372549,0.5351681957186545,0.5415162454873647,0.5848513902205177,0.8035714285714286,0.8344308560677328,0.3428228028777852,0.848404255319149,0.8161350844277674,0.5777640264026402,0.71,0.6806311207834603
mnli+imdb+hellaswag,0.5294117647058824,0.4865443425076453,0.5306859205776173,0.6615532118887824,0.7857142857142857,0.8320790216368767,0.46336383310813434,0.8856382978723404,0.875234521575985,0.514026402640264,0.7,0.6860718171926007
mnli+imdb+squad_v2,0.5931372549019608,0.5336391437308868,0.5306859205776173,0.5829338446788112,0.7321428571428571,0.8273753527751646,0.4136192849571892,0.8962765957446809,0.875234521575985,0.5612623762376238,0.4,0.16648531011969533
mnli+imdb+winogrande,0.5588235294117647,0.46788990825688076,0.5379061371841155,0.6270373921380633,0.7678571428571429,0.8226716839134525,0.450217331869668,0.8803191489361702,0.8714821763602252,0.5375412541254125,0.65,0.6354733405875952
mnli+paws+hellaswag,0.3946078431372549,0.6204892966360857,0.5451263537906137,0.5906040268456376,0.7678571428571429,0.8396048918156162,0.3153839277401963,0.7845744680851063,0.7166979362101313,0.7559818481848185,0.51,0.3014145810663765
