method,combo,n_tasks,target,cos_mix,dot_mix,ts_cos,ts_dot,kc_cos,kc_dot
base,mnli+qqp+sst2+snli+paws+winogrande,6,copa,0.012161400794304385,0.08202225262928511,0.00862916050452475,0.013670375438214186,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+paws+winogrande,6,piqa,0.020968093842474216,0.4313202931048995,0.014716240457747472,0.07188671551748325,0.032023247380641856,1.3810071071626988
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,mrpc,0.03959251702348907,0.43561880442334067,0.022245359895630094,0.07260313407055678,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,boolq,0.023462399606183074,0.4068081374970066,0.01217317252327319,0.06780135624950111,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,rte,0.06510687596348398,0.688319277035318,0.032403085175399665,0.11471987950588634,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,cola,0.034427088092769724,0.5603988211843062,0.01980933591381268,0.0933998035307177,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,cb,0.05829739129827118,0.3580050408882009,0.02983923075324026,0.05966750681470015,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,scitail,0.08800831660361526,2.1074651239140834,0.03741893197492522,0.3512441873190139,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,stsb,0.01856268627884999,0.30086352953066475,0.00841157429306892,0.05014392158844413,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,cr,0.07491328746590982,0.9132527619648253,0.07337574919157876,0.15220879366080423,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,rotten_tomatoes,0.08763757089102434,1.4302950029906185,0.08893443566840052,0.23838250049843643,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,multirc,0.035152338987883676,1.0663327723737428,0.01616652345357614,0.17772212872895712,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,copa,0.011078503437811995,0.07679915433390097,0.008204608732939603,0.012799859055650162,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+squad_v2,6,piqa,0.014087281900942538,0.2978484850523596,0.007193210522040944,0.04964141417539327,0.042550966005251586,1.4267636864575646
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,mrpc,0.040466494597036745,0.4309098676102874,0.022712551430028444,0.07181831126838123,0.04267151371530458,1.3930882068470276
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,boolq,0.023247999169650178,0.3901217225458842,0.012131471890311515,0.06502028709098069,0.04267151371530458,1.3930882068470276
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,rte,0.06664625591570271,0.6819243200667268,0.03308472562845994,0.11365405334445446,0.04267151371530458,1.3930882068470276
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,cola,0.03526947427018795,0.5556396840448814,0.02041285295479696,0.09260661400748023,0.04267151371530458,1.3930882068470276
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,cb,0.06033561153942898,0.3586006618321996,0.030940204871422045,0.05976677697203326,0.04267151371530458,1.3930882068470276
base,mnli+qqp+sst2+snli+imdb+hellaswag,6,scitail,0.08975018749742439,2.0800290200306897,0.03722968224824852,0.34667150333844826,0.04267151371530458,1.3930882068470276
