combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qqp+sst2+paws+imdb+hellaswag,0.3161764705882353,0.48073394495412847,0.7075812274368231,0.6270373921380633,0.5,0.6646284101599247,0.901595744680851,0.9108818011257036,0.6429455445544554,0.61,0.5266594124047879
mnli+qqp+sst2+paws+imdb+winogrande,0.3161764705882353,0.4648318042813456,0.7148014440433214,0.5963566634707574,0.5357142857142857,0.6382878645343368,0.9069148936170213,0.9043151969981238,0.6441831683168316,0.6,0.4053318824809576
mnli+qqp+sst2+record+anli_r1+hellaswag,0.3161764705882353,0.43302752293577984,0.8014440433212996,0.6222435282837967,0.6964285714285714,0.8537158984007526,0.8856382978723404,0.8789868667917449,0.6326320132013201,0.61,0.4368879216539717
mnli+qqp+sst2+record+anli_r1+imdb,0.31862745098039214,0.3204892966360856,0.7942238267148014,0.62320230105465,0.5892857142857143,0.8367826904985889,0.9069148936170213,0.9024390243902439,0.6227310231023102,0.5,0.3335146898803047
mnli+qqp+sst2+record+anli_r1+paws,0.3161764705882353,0.501834862385321,0.8194945848375451,0.5800575263662512,0.6607142857142857,0.8490122295390404,0.8909574468085106,0.874296435272045,0.6472772277227723,0.37,0.15451577801958652
mnli+qqp+sst2+record+anli_r1+winogrande,0.3161764705882353,0.43425076452599387,0.8014440433212996,0.573346116970278,0.6964285714285714,0.8518344308560677,0.8909574468085106,0.8724202626641651,0.6330445544554455,0.55,0.31719260065288357
mnli+qqp+sst2+record+hellaswag+winogrande,0.3161764705882353,0.4565749235474006,0.7364620938628159,0.5915627996164909,0.48214285714285715,0.8254938852304797,0.8962765957446809,0.8921200750469043,0.6256188118811881,0.66,0.5
mnli+qqp+sst2+record+imdb+hellaswag,0.3161764705882353,0.36636085626911313,0.7148014440433214,0.6414189837008629,0.4642857142857143,0.7765757290686736,0.9175531914893617,0.9108818011257036,0.6196369636963697,0.64,0.5397170837867247
mnli+qqp+sst2+record+imdb+winogrande,0.31862745098039214,0.36636085626911313,0.7364620938628159,0.6145733461169702,0.5,0.7718720602069614,0.9175531914893617,0.9071294559099438,0.6216996699669967,0.6,0.3906420021762786
mnli+qqp+sst2+record+paws+hellaswag,0.3161764705882353,0.5128440366972477,0.703971119133574,0.588686481303931,0.44642857142857145,0.8029162746942615,0.8882978723404256,0.8864915572232646,0.643976897689769,0.51,0.2927094668117519
mnli+qqp+sst2+record+paws+imdb,0.3161764705882353,0.4834862385321101,0.6931407942238267,0.6116970278044104,0.5,0.753527751646284,0.9175531914893617,0.9090056285178236,0.6421204620462047,0.42,0.235038084874864
mnli+qqp+sst2+record+paws+winogrande,0.3161764705882353,0.4981651376146789,0.7184115523465704,0.5599232981783318,0.5,0.8095014111006585,0.8882978723404256,0.8827392120075047,0.6452145214521452,0.48,0.2029379760609358
mnli+qqp+sst2+record+snli+anli_r1,0.3161764705882353,0.2944954128440367,0.5703971119133574,0.5838926174496645,0.8571428571428571,0.8320790216368767,0.8164893617021277,0.8227016885553471,0.6518151815181518,0.18,0.21653971708378672
mnli+qqp+sst2+record+snli+hellaswag,0.3161764705882353,0.3385321100917431,0.6245487364620939,0.6069031639501438,0.8392857142857143,0.8306679209783632,0.8031914893617021,0.8217636022514071,0.6493399339933993,0.54,0.426550598476605
mnli+qqp+sst2+record+snli+imdb,0.3161764705882353,0.19327217125382262,0.6064981949458483,0.6040268456375839,0.8035714285714286,0.8231420507996237,0.8537234042553191,0.8564727954971857,0.6054042904290429,0.47,0.3715995647442873
mnli+qqp+sst2+record+snli+paws,0.3161764705882353,0.482262996941896,0.6389891696750902,0.5790987535953979,0.8214285714285714,0.825964252116651,0.8324468085106383,0.8189493433395872,0.6547029702970297,0.39,0.1147986942328618
mnli+qqp+sst2+record+snli+winogrande,0.3161764705882353,0.3547400611620795,0.631768953068592,0.573346116970278,0.8571428571428571,0.8311382878645344,0.8164893617021277,0.8133208255159474,0.648102310231023,0.5,0.32100108813928185
mnli+qqp+sst2+snli+anli_r1+hellaswag,0.3161764705882353,0.2434250764525994,0.5740072202166066,0.6030680728667306,0.8571428571428571,0.8316086547507056,0.8085106382978723,0.8142589118198874,0.6346947194719472,0.12,0.40261153427638735
mnli+qqp+sst2+snli+anli_r1+imdb,0.3161764705882353,0.09327217125382263,0.5776173285198556,0.6203259827420902,0.875,0.8287864534336783,0.8590425531914894,0.851782363977486,0.5270214521452146,0.08,0.3063112078346028
mnli+qqp+sst2+snli+anli_r1+paws,0.3161764705882353,0.4654434250764526,0.5812274368231047,0.573346116970278,0.8571428571428571,0.8287864534336783,0.8271276595744681,0.8245778611632271,0.6493399339933993,0.08,0.15397170837867247
mnli+qqp+sst2+snli+anli_r1+winogrande,0.3161764705882353,0.24311926605504589,0.5848375451263538,0.5743048897411314,0.8928571428571429,0.8254938852304797,0.8111702127659575,0.8114446529080676,0.633457095709571,0.09,0.33460282916213274
