method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,hellaswag+winogrande,2,rte,0.9500000000000001,0.5703971119133574,0.6000000000000001,,
base,hellaswag+winogrande,2,cola,0.30000000000000004,0.4448705656759348,-1.308571428571429,,
base,hellaswag+winogrande,2,cb,0.75,0.4107142857142857,0.575,,
base,hellaswag+winogrande,2,scitail,0.5,0.5578551269990593,0.5753968253968254,,
base,hellaswag+winogrande,2,cr,0.65,0.8164893617021277,0.8409893992932864,,
base,hellaswag+winogrande,2,rotten_tomatoes,0.5,0.7607879924953096,0.7676630434782609,,
base,hellaswag+winogrande,2,multirc,0.15000000000000002,0.47648514851485146,0.08769307424015943,,
base,hellaswag+winogrande,2,copa,0.35000000000000003,0.77,1.0444444444444445,,
base,hellaswag+winogrande,2,piqa,0.4,0.719804134929271,0.8166877370417195,,
base,imdb+hellaswag,2,mrpc,0.55,0.5514705882352942,0.6482558139534884,,
base,imdb+hellaswag,2,boolq,0.15000000000000002,0.4599388379204893,0.16446911866759192,,
base,imdb+hellaswag,2,rte,0.55,0.6101083032490975,0.6758620689655173,,
base,imdb+hellaswag,2,cola,0.30000000000000004,0.6692233940556088,0.028571428571428345,,
base,imdb+hellaswag,2,cb,0.4,0.14285714285714285,0.19999999999999998,,
base,imdb+hellaswag,2,scitail,0.35000000000000003,0.6180620884289746,0.6388888888888888,,
base,imdb+hellaswag,2,cr,0.30000000000000004,0.9122340425531915,0.9681978798586574,,
base,imdb+hellaswag,2,rotten_tomatoes,0.35000000000000003,0.9052532833020638,0.9769021739130437,,
base,imdb+hellaswag,2,multirc,0.15000000000000002,0.49566831683168316,0.13403089187842554,,
base,imdb+hellaswag,2,copa,0.30000000000000004,0.7,0.8888888888888888,,
base,imdb+hellaswag,2,piqa,0.45,0.7154515778019587,0.806573957016435,,
base,imdb+hellaswag+winogrande,3,mrpc,0.55,0.5588235294117647,0.6569767441860466,,
base,imdb+hellaswag+winogrande,3,boolq,0.05,0.42048929663608564,0.07494795281054824,,
base,imdb+hellaswag+winogrande,3,rte,0.45,0.6534296028880866,0.7586206896551724,,
